report_date,week,value,instrument,role,side,series,quote,dist_pct,hit_1w,hit_4w,respected
2023-07-30,2023-07-31,433,SPY,support,below,SPY,Testing an LDPM crossover would occur at ~433 (~ -5.0%).,-5.25,False,False,
2023-07-30,2023-07-31,430,SPY,support,below,SPY,should it look as though the market is starting to test LDPM-55 at ~$430 (for $S,-5.91,False,False,
2023-08-13,2023-08-14,439.7,SPY,support,below,SPY,LDPM-55 for $SPY is only sitting a paltry -1.34% away at $439.70,-1.36,True,True,False
2023-08-13,2023-08-14,363.65,QQQ,support,below,QQQ,$QQQ is sitting even close at -0.76% at $363.65,-0.74,True,True,False
2023-08-13,2023-08-14,431.48,SPY,target,below,SPY,$SPY’s LDPM-89 is sitting at $431.48 (-3.17%),-3.2,False,False,
2023-08-13,2023-08-14,362.09,QQQ,target,below,QQQ,$QQQ’s is at $362.09 (-3.86%),-1.16,True,True,
2023-08-20,2023-08-21,433.0,SPY,support,below,SPY,$SPY’s LDPM-89 is at ~$433 [current price: $436.50],-0.72,False,False,
2023-08-20,2023-08-21,353.0,QQQ,support,below,QQQ,$QQQ’s is at $353 [current price: $358.13],-1.44,False,False,
2023-09-04,2023-09-04,434.35,SPY,target,below,SPY,"keeping an eye on LDPM-89 for $SPY on the daily, which is currently sitting at $",-3.58,False,True,
2024-03-17,2024-03-18,435.0,QQQ,support,above,QQQ,"the purchasing support just below the 12th, 13th, and 14th rests at ~$435",0.25,True,True,False
2024-05-05,2024-05-06,430.0,QQQ,resistance,unknown,QQQ,the purchasing support only providing a narrow reprieve from more selling pressu,-1.39,False,False,
2024-06-02,2024-06-03,520.0,SPY,support,below,SPY,the purchasing support doesn’t kick in until $520 (about -1.40%),-1.52,False,False,
2024-09-02,2024-09-02,414.0,QQQ,target,below,,a potential price-target for $QQQ is nearly $414(!) where LDPM-144 currently sit,,,,
2024-10-13,2024-10-14,5670,SPX_ES,support,below,ES,"Downside resolution to organic bid would occur at (presently) $5,670ish.",-3.13,False,False,
2024-10-27,2024-10-28,5600,SPX_ES,target,below,ES,"a reasonable downside target of $5,600 whereat LDPM-610 looks poised to offer it",-4.13,False,False,
2024-10-27,2024-10-28,5500,SPX_ES,support,below,ES,"movement rapidly towards LDPM-610 (orange line) at 5,500-ish",-5.85,False,False,
2024-11-03,2024-11-04,6000,SPX_ES,target,unknown,ES,"downside with a reasonable target of $6,000 for ES",4.18,True,True,
2024-11-03,2024-11-04,5600,SPX_ES,floor,below,ES,LDPM-610 showing a reasonable floor now at $5.6k still – and that feels reasonab,-2.77,False,False,
2024-12-08,2024-12-09,5900,SPX_ES,floor,below,ES,"anything limited to ~$5,900 on $ES (the current LDPM-89, -144 floor) will presen",-3.23,False,True,
2024-12-15,2024-12-16,5970,SPX_ES,target,below,ES,"price movement expectations towards LDPM-144, and 377 at ~$5970 (~-2.00%) in the",-1.34,False,True,
2024-12-15,2024-12-16,5796.14,SPX_ES,target,below,ES,"the possible move further down to $5,796.14 (-4.00%)",-4.22,False,False,
2024-12-22,2024-12-23,5800,SPX_ES,floor,below,ES,LDPM-610 is still present at ~5.8k (currently about -3% away from us),-4.39,False,False,
2024-12-22,2024-12-23,5000,SPX_ES,floor,below,,"a floor all the way at LDPM-144 (neon-blue) at ~$5,000! That’s a hefty ~20% drop",,,,
2024-12-29,2024-12-30,5851,SPX_ES,support,below,ES,"LDPM-610 as a respectable test-of-stability at $5,851, which is currently about ",-2.96,False,True,
2024-12-29,2024-12-30,5600,SPX_ES,target,below,ES,"movement down towards ~$5,600 seems reasonable; which is an appreciable 7% remov",-7.12,False,False,
2025-01-12,2025-01-13,5750,SPX_ES,floor,below,ES,"we are already testing the first floor! (LDPM-5 [neon-blue]) at $5,750-ish",-1.9,False,False,
2025-01-12,2025-01-13,5500,SPX_ES,target,below,ES,"This sets the next downside target at $5,500-$5,300-ish",-6.17,False,False,
2025-01-12,2025-01-13,5300,SPX_ES,target,below,ES,"This sets the next downside target at $5,500-$5,300-ish",-9.58,False,False,
2025-01-12,2025-01-13,5000,SPX_ES,target,below,,"should things deteriorate from there, a likely resting place of $5,000 at LDPM-7",,,,
