report_date,week,call,confidence,summary,QQQ_oc_ret,QQQ_ff_ret,SPY_oc_ret,SPY_ff_ret
2023-05-01,2023-05-01,bullish,medium,VoEx rebounded into the Inhibition Zone and DLPs are ramping up; bull run expected to continue near-term despite bearish hedging environment and GTM.,-0.099,0.053,-0.889,-0.758
2023-05-07,2023-05-08,bearish,high,"Erratic VoEx, unsupportive hedging environments, negative influence distributions, and weak DLP growth all point to a red week with more downside.",0.483,0.558,-0.431,-0.378
2023-05-14,2023-05-15,bearish,medium,"Data predominately bearish-leaning: SPY VoEx heading south, selling pressure, negative influence distributions; expects flat/down week, downside continuation of the cycle.",3.101,3.631,1.186,1.76
2023-05-21,2023-05-22,bullish,medium,"Both SPY and QQQ VoEx in Inhibition Zone: bullish-until-proven-otherwise; GTM, MWGSC, and DLPs lean bullish despite no purchasing support in hedging environments.",3.577,3.787,0.444,0.531
2023-05-29,2023-05-29,bullish,low,"Officially still bullish-until-proven-otherwise, but data (MWGSC bearish, GTM positive, weak DLPs, erratic VoEx) are migrating toward a potentially significant downside.",1.198,1.711,1.511,1.806
2023-06-04,2023-06-05,bearish,medium,"QQQ VoEx Divergence invalidates the bullish stance; GTM positive, DLPs flat, VoEx Variance near 1 - the long-anticipated downside appears fast approaching.",0.13,-0.082,0.458,0.481
2023-06-11,2023-06-12,neutral,low,No market content: file contains only Data Dashboard patch notes and known-bug lists.,3.428,3.9,1.871,2.2
2023-06-19,2023-06-19,bearish,high,"SPY VoEx spiking out of the Inhibition Zone, market-wide VoEx Variance collapse, and net DLP closures signal a market correction approaching within a month.",-1.221,-1.645,-1.32,-1.49
2023-06-25,2023-06-26,bullish,low,"Near-term bullish 'rogue wave' expected (stabilized hedging environments, positive influence distributions, VoEx stalled at Propagation Line) inside a longer-term bearish storm thesis.",1.885,1.866,2.343,2.315
2023-07-02,2023-07-03,bullish,medium,SPY and QQQ VoEx both back in the Inhibition Zone puts market in BUPO; DLPs surged; ride the bull-run despite unstable foundations and medium-term bearish lean.,-1.021,-0.704,-1.105,-0.951
2023-07-09,2023-07-10,bearish,low,"Data mostly print bearish (VoEx Divergence on SPY and QQQ, red influence distributions) but VoEx has stalled at the Inhibition Zone, so positioning is small and tentative.",3.891,3.372,2.702,2.323
2023-07-16,2023-07-17,bullish,medium,VoEx back in the Inhibition Zone on both SPY and QQQ restores bullish-until-proven-otherwise; MWGSC and GTM bullish; up is the name-of-the-game.,-1.007,-0.839,0.657,0.728
2023-07-23,2023-07-24,neutral,low,"No market content: file contains only Data Dashboard patch notes (Market Scan changes) and a multi-page list of ~1,100 newly added stock symbols.",1.786,2.087,0.87,1.068
2023-07-30,2023-07-31,bullish,medium,"BUPO on SPY and QQQ; VoEx Variance collapsing into stability not the Propagation Zone, and LDPM shows organic bullish performance; long-term bullish, short-term dip risk capped near 5%.",-2.844,-2.998,-2.161,-2.241
2023-08-06,2023-08-07,bearish,high,"BUPO officially dead: VoEx starts the week inside the Propagation Zone on SPY and QQQ; high risk of short- and medium-term downside, likely testing LDPM-55.",-2.205,-1.527,-0.728,-0.226
2023-08-13,2023-08-14,bearish,medium,VoEx in Propagation Zone means continued near-term downside toward LDPM-89 liquidity levels; will scale into larger shorts if bearish data persists.,-2.819,-2.233,-2.462,-2.156
2023-08-20,2023-08-21,bearish,high,VoEx deeper in Propagation Zone plus bearish MWGS/GTM and first V2 datum in PZ: continued downside expected short-to-medium term; LDPM-89 to be tested.,1.134,1.575,0.5,0.869
2023-08-27,2023-08-28,bullish,medium,"Most reversal criteria met (negative GTM, DLP resurgence, no drastic VoEx response); the dip has likely dipped, so tentatively bullish with pivot ready.",3.519,3.73,2.307,2.398
2023-09-04,2023-09-04,bearish,low,"VoEx erratic despite Inhibition Zone move; unsupportive heatmaps, cooling DLPs, mean-reversion risk. Downsizing longs, leaning short if downside develops.",-0.848,-1.137,-0.83,-1.026
2023-09-10,2023-09-11,bearish,medium,"Choppy week expected from competing hedging environments, but bearish prudence maintained: MWGS increasingly bearish, V2 points to larger correction nearby.",-1.102,-0.641,-0.905,-0.547
2023-09-17,2023-09-18,bearish,high,"VoEx Spike on SPY plus both indexes in Propagation Zone signal imminent decline; pausing long acquisitions, betting against sustained bullish performance.",-3.315,-3.302,-2.961,-2.814
2023-09-24,2023-09-25,bearish,high,"Deeply negative VoEx in Propagation Zone, bearish MWGS/GTM, V2 growth in PZ; brace for continued downside despite huge QQQ put-selling spike.",-0.145,0.106,-0.975,-0.759
2023-10-01,2023-10-02,bearish,medium,"Medium-term decline still favored (net-PZ market, V2 collapse starting, bearish LDPS), but VoEx Coiling and huge DLP prints pose near-term rapid-appreciation risk.",1.11,1.8,0.04,0.533
2023-10-08,2023-10-09,bullish,medium,"VoEx Coiling confirmed on SPY and QQQ plus supportive hedging environments suggest a near-term bull run, inside a still-unstable, longer-term bearish market.",0.754,-0.142,1.108,0.207
2023-10-15,2023-10-16,bearish,medium,"VoEx Coiling failed to extend into BUPO and fell back toward Propagation Zone; V2 collapsing, I-P ratio negative to 60-day: bearish lean into forming correction.",-2.987,-2.876,-2.567,-2.316
2023-10-22,2023-10-23,bearish,high,"VoEx back in Propagation Zone after failed coiling breakout, V2 collapse in all three zones, put-sellers absent: continued downside and instability expected.",-2.454,-2.487,-2.312,-2.416
2023-10-29,2023-10-30,bearish,high,"VoEx stalled in Propagation Zone, bearish MWGS/GTM, V2 collapse continuing: downside expected on most timeframes with minimal bull-trap threat.",5.718,6.501,5.269,5.9
2023-11-06,2023-11-06,bullish,low,"After SPY +5.84% week, VoEx spiked into Inhibition Zone and V2 is flattening; cards stacking toward a bullish (BUPO) week, but with heavy caveats.",2.572,2.737,1.047,1.168
2023-11-12,2023-11-13,bullish,low,"VoEx moved further into Inhibition Zone: technical bullish BUPO, ride the wave; but vanna-unstable heatmaps, weak DLPs, and V2 imply a tenuous, reversal-prone run.",2.222,1.987,2.471,2.37
2023-11-19,2023-11-20,neutral,low,Not a market report: file is the LDPS Trading Robot quick-start/setup guide with no market commentary or directional thesis.,0.899,0.968,1.083,1.101
2023-11-26,2023-11-27,bullish,high,"Bullish-until-proven-otherwise maintained; data unchanged, VoEx in Inhibition Zone, easy bullish interpretation for the week.",0.321,0.218,1.032,0.861
2023-12-04,2023-12-04,bullish,medium,"BUPO bullish stance maintained per VoEx, but underlying conditions (put-selling lethargy, negative gamma flows) deteriorating for continued upside.",0.753,0.495,0.415,0.174
2023-12-10,2023-12-11,bullish,medium,BUPO continues; QQQ put-selling surged (robust bullish indication) and little evidence to refute the bullish stance.,3.463,3.278,2.151,2.08
2023-12-17,2023-12-18,bullish,medium,BUPO bullish maintained despite VoEx spike-like behavior; enthusiasm tempered by put-selling reversal and bearish GTM drift.,0.79,0.778,0.508,0.707
2023-12-25,2023-12-25,bullish,low,BUPO technically maintained but VoEx Divergence emerging on SPY and QQQ; warning signs mounting for end of the bullish regime.,-0.088,0.279,0.097,0.395
2024-01-01,2024-01-01,bullish,low,Tenuous BUPO bullish to start the year; short-term bullish (QQQ put-selling surge) against medium-term correction risk per V2 and 2020/2022 analogues.,-3.17,-3.026,-1.765,-1.455
2024-01-07,2024-01-08,bearish,high,"BUPO has ended; VoEx Divergence activated, gamma squeezes growing 30% with more expected, so downside is the expectation.",3.347,3.123,1.844,1.744
2024-01-14,2024-01-15,bearish,medium,Continued downside expectation despite the prior green week; leveraged ETFs and IWM show VoEx Divergence/Spikes supporting bearish view.,3.704,3.06,1.691,1.315
2024-01-21,2024-01-22,bullish,low,"VoEx back in Inhibition Zone so another round of BUPO bullish, but adopted tenuously; erratic VoEx suggests bull-trap risk.",-0.087,0.358,0.728,0.983
2024-01-28,2024-01-29,bullish,low,"Technically bullish per VoEx BUPO, but author calls it a mixed bag with growing instability and near-term downside signals from GTM.",0.725,1.165,1.206,1.336
2024-02-04,2024-02-05,bullish,medium,VoEx rebounded into Inhibition Zone maintaining BUPO; increased put-selling on SPY/QQQ and strongly positive GTM support bullish expectations.,1.898,2.081,1.489,1.495
2024-02-11,2024-02-12,neutral,low,No market commentary; document is only LDPS indicator update/patch notes with no directional thesis.,-1.685,-1.618,-0.409,-0.415
2024-02-19,2024-02-19,bullish,low,"Still technically BUPO bullish for the week, but VoEx Divergence forming and put-selling ceased shift stance to worrisome bullish.",1.664,1.437,1.796,1.692
2024-02-25,2024-02-26,bearish,medium,"VoEx Divergence plus spikes, near-zero put-selling, and first negative GTM print; neutral-to-bearish, bracing for downside.",2.07,2.1,1.002,0.956
2024-03-03,2024-03-04,bullish,medium,"Bullish outlook returns: VoEx Divergence softened, BUPO restored, GTM positive with gamma-squeeze destruction, market cooling off within stability.",-1.568,-1.332,-0.105,-0.004
2024-03-10,2024-03-11,neutral,low,Patch notes and admin updates only; no market outlook or directional thesis given.,-1.096,-1.247,-0.319,-0.482
2024-03-17,2024-03-18,bearish,high,VoEx divergence with QQQ leaving stability plus negative GTM print signal persistent near-term downside for both indexes.,2.42,2.798,1.921,2.205
2024-03-24,2024-03-25,bearish,medium,"Despite surprise bullish week, QQQ VoEx divergence complete and negative GTM prints keep downside the most likely outcome.",-0.359,-0.451,0.424,0.39
2024-04-07,2024-04-08,bearish,high,"VoEx in Propagation Zone for both indexes, rising gamma squeezes, negative GTM, bearish LDPM crossovers; downside expected to continue.",-0.809,-0.661,-1.634,-1.522
2024-04-14,2024-04-15,bearish,medium,Medium-term downside intact but VoEx paused at Propagation Line; near-term risk of flat-to-mean-reverting bounce tempers aggressive shorting.,-5.976,-5.317,-3.672,-3.072
2024-04-21,2024-04-22,bearish,medium,VoEx well inside Propagation Zone and VoEx Variance printing there too; expects continued downside despite risk of a dead-cat bounce.,3.459,4.016,2.346,2.724
2024-04-28,2024-04-29,bullish,low,"Bounce expected to continue this week (supportive hedging, VoEx-daily moving to stability) but viewed as temporary within larger downtrend.",0.77,1.165,0.493,0.761
2024-05-05,2024-05-06,bullish,medium,Near-term bullish continuation expected (green-to-flat week) but flagged as a likely bull-trap with medium-term bearish expectations intact.,1.394,1.273,1.594,1.55
2024-05-12,2024-05-13,bullish,medium,"VoEx sped into Inhibition Zone with supportive hedging and positive GTM; continued local bullish performance expected, cautiously.",1.955,2.274,1.526,1.8
2024-05-19,2024-05-20,bullish,low,More price appreciation expected but data mixed; SPY VoEx stalled at Inhibition Line and author leans toward possible bull-trap.,1.2,1.371,-0.077,0.025
2024-05-27,2024-05-27,bearish,low,"Near-term dip expected (negative GTM, rising gamma squeezes, inactive put-sellers) within a maintained medium-term bullish outlook; buy-the-dip framing.",-1.686,-1.415,-0.43,-0.298
2024-06-02,2024-06-03,bearish,high,"VoEx turned sharply toward Propagation Zone, sell-dominant hedging, deeply negative GTM; prolonged downside now the prudent bet.",2.094,2.404,1.086,0.998
2024-06-09,2024-06-10,bullish,high,"VoEx out of Propagation Zone, supportive hedging, GTM turning positive and short-gamma push exhausted; bullish outlook.",3.662,3.749,1.803,1.838
2024-06-16,2024-06-17,bullish,high,"VoEx in BUPO for SPY, well within Stability for both; supportive purchasing environment, calm gamma data; smooth bullish sailing expected.",0.181,0.288,0.284,0.3
2024-06-23,2024-06-24,bullish,low,"Medium-term bullish (BUPO in effect) but elevated near-term pullback risk from VoEx-daily spikes, weak SPY hedging support, negative DLP activity.",-0.194,-0.279,-0.051,0.035
2024-06-30,2024-07-01,bearish,medium,"Last week's downside call rolled forward: localized near-term downside expected, though minimal evidence of prolonged or significant decline.",3.372,3.351,1.679,1.67
2024-07-07,2024-07-08,bullish,high,"Near-term dip has completed; VoEx back in stability, put-selling resumed, supportive hedging environments - bullish until proven otherwise.",-0.212,-0.159,0.938,1.0
2024-07-14,2024-07-15,bearish,medium,Near-term downside and turbulence expected as VoEx encroaches on Propagation Zone; longer-term outlook remains bullish.,-4.406,-4.015,-2.298,-1.971
2024-07-21,2024-07-22,bearish,high,"VoEx plunged into Propagation Zone, put-selling ceased, VoEx Variance collapsed; downside expected on both near and medium time horizons.",-3.163,-2.552,-1.182,-0.791
2024-07-28,2024-07-29,bearish,high,"VoEx and VoEx-daily deep in Propagation Zone, bearish LDPM/LDPS on daily and 4-hour; significant volatile downside risk over short and medium term.",-3.608,-3.269,-2.48,-2.299
2024-08-04,2024-08-05,bearish,high,"Downside manifested and more expected: VoEx persists in Propagation Zone, put-selling ceased on SPY, gamma squeeze growth turning positive.",4.338,0.616,2.174,0.173
2024-08-11,2024-08-12,bearish,high,"VoEx remains in Propagation Zone, hedging offers little support, gamma flows increasingly involved; downside expected, possibly extending to longer term.",5.101,5.474,3.778,4.095
2024-08-18,2024-08-19,bullish,medium,"Near-term bullish bounce forming (VoEx-daily spiked into Stability, supportive heatmaps), but viewed as a bull-trap within bearish medium-term.",1.097,1.012,1.426,1.384
2024-08-25,2024-08-26,bullish,low,"Positioning bullish for the near term (VoEx-daily in stability, supportive heatmaps) while still expecting the rally is a bull-trap that resolves bearish.",-1.019,-0.804,0.139,0.274
2024-09-02,2024-09-02,bullish,low,"Bullish-until-proven-otherwise as bull-trap plays out, but high risk of large downside; expecting the trap to terminate shortly.",-6.306,-6.167,-4.511,-4.42
2024-09-08,2024-09-09,bearish,high,"Bull-trap has sprung; VoEx returning to Propagation Zone, hostile hedging environments, rising gamma squeezes - choppy, significant downside expected.",4.865,6.303,3.265,4.279
2024-09-15,2024-09-16,bullish,medium,"VoEx-daily back in Stability and VoEx exited Propagation Zone; reversion to cautious bullish outlook, tempered by sparse liquidity and absent put-selling.",1.385,1.432,0.957,1.027
2024-09-22,2024-09-23,bullish,high,"VoEx and VoEx-daily both within Stability - back to Bullish-Until-Proven-Otherwise, with supportive vanna-stable hedging environments.",0.727,0.913,0.521,0.67
2024-09-29,2024-09-30,bullish,medium,"Technically bullish with VoEx in Stability, but watching a liquidity vacuum on ES and downward-stalled VoEx-daily; dips viewed as buyable.",0.062,0.2,0.178,0.226
2024-10-06,2024-10-07,bullish,high,"BUPO maintained: VoEx healthy in Stability, supportive hedging heatmaps, DLP put-selling activity spiking ~50% on SPY - bullish sentiments abound.",1.431,1.117,1.296,0.997
2024-10-13,2024-10-14,bullish,medium,Data still point up; technically bullish week ahead despite inverted LDPM bull-trap warning and liquidity vacuum concerns.,0.194,0.428,0.805,1.103
